id,datetime_AEST,datetime_local,location_id,location_name,BSP,DBT,NO2,O3,PM10,Sigma05,SWS,VWD,VWS
0,2021-12-31 23:00:00,2022-01-01 00:00:00,10022,Dandenong,29.049,23.247,13.512,19.042,33.864,14.398,1.189,334.103,1.109
1,2022-01-01 00:00:00,2022-01-01 01:00:00,10022,Dandenong,,22.556,,,28.72,12.392,1.154,341.51,1.087
2,2022-01-01 01:00:00,2022-01-01 02:00:00,10022,Dandenong,26.953,22.419,20.398,8.91,30.686,10.801,1.58,15.35,1.538
3,2022-01-01 02:00:00,2022-01-01 03:00:00,10022,Dandenong,29.458,22.955,15.258,14.216,21.09,12.042,2.191,10.914,2.14
4,2022-01-01 03:00:00,2022-01-01 04:00:00,10022,Dandenong,29.603,23.367,10.784,20.255,23.771,14.004,2.867,11.462,2.782
5,2022-01-01 04:00:00,2022-01-01 05:00:00,10022,Dandenong,23.481,23.721,7.405,24.727,14.801,14.058,3.365,11.874,3.228
6,2022-01-01 05:00:00,2022-01-01 06:00:00,10022,Dandenong,15.835,25.973,3.793,32.779,18.242,13.904,4.278,8.913,4.156
7,2022-01-01 06:00:00,2022-01-01 07:00:00,10022,Dandenong,14.333,27.355,3.073,33.693,22.508,14.788,4.26,11.276,4.129
8,2022-01-01 07:00:00,2022-01-01 08:00:00,10022,Dandenong,11.725,30.109,2.687,36.806,21.022,17.524,3.744,359.146,3.596
9,2022-01-01 08:00:00,2022-01-01 09:00:00,10022,Dandenong,10.744,32.431,2.197,39.101,19.195,19.701,4.343,352.281,4.084
10,2022-01-01 09:00:00,2022-01-01 10:00:00,10022,Dandenong,9.378,34.619,1.848,40.651,14.037,19.535,4.551,345.698,4.285
11,2022-01-01 10:00:00,2022-01-01 11:00:00,10022,Dandenong,8.52,35.97,1.941,42.622,17.116,20.844,4.693,338.128,4.364
12,2022-01-01 11:00:00,2022-01-01 12:00:00,10022,Dandenong,8.976,36.91,1.87,44.255,18.419,23.424,4.16,336.234,3.785
13,2022-01-01 12:00:00,2022-01-01 13:00:00,10022,Dandenong,14.28,34.338,2.266,45.368,64.668,17.805,4.74,266.757,3.646
